,ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD,gender
310,AUS000076214242,AUS,7.5,10.7,0,0,0,13,19.1,32.1,18.2,0.9,7.5,0,8.4,9.1,2.3875,8,ab,2,1,1,2
311,AUS000054010043,AUS,4.8,3.8,0,0,14,20,34,54,22.6,11.4,18.8,3.5,30.2,7.533333333,2,17,bab,3,1,1,2
312,AUS000017303250,AUS,24.4,10,0,0,13.2,17.9,53.2,71.1,47.6,5.6,37.6,6.1,43.2,11.9,2.66,20,abab,4,1,1,2
313,AUS000053709979,AUS,39.9,20.8,0,0,0,23.8,62.4,86.2,60.7,1.7,39.9,0,41.6,30.35,7.8,8,ab,2,1,1,1
314,AUS000067012519,AUS,4,4,0,5.8,0,13.3,24.9,38.2,13.8,11.1,9.8,0,20.9,4.6,1.464705882,17,bab,3,1,1,1
315,AUS000026604952,AUS,51.1,8.8,0,0,0,14.2,65.8,80,59.9,5.9,51.1,0,57,29.95,5.483333333,12,ab,2,1,1,1
316,AUS000026604953,AUS,10.3,0,19.8,34.4,0,15.2,67,82.2,64.5,2.5,44.7,4.5,86.8,21.5,4.466666667,15,bab,3,1,1,1
317,AUS000060211213,AUS,17.8,7.1,0,17.5,0,13.7,45.9,59.6,42.4,3.5,35.3,0,38.8,10.6,2.7,17,abab,4,1,1,1
318,AUS000034006321,AUS,20.6,5.1,0,5.9,0,28.8,35,63.8,31.6,3.4,26.5,0,29.9,7.9,2.058823529,17,abab,4,1,1,2
319,AUS000034006325,AUS,10.4,2.9,0,5.8,10.9,22.8,73.3,96.1,30,43.3,27.1,7.9,70.4,6,1.1453125,64,abbab,5,1,1,2
320,AUS000069512994,AUS,6.9,7,0,0,0,14.9,15.1,30,13.9,1.2,6.9,0,8.1,6.95,1.8875,8,ab,2,1,1,2
321,AUS000069512979,AUS,10.7,5.2,0,15,0,22.4,43.9,66.3,30.9,13,25.7,0,38.7,6.18,1.625925926,27,babab,5,1,1,2
322,AUS000060311236,AUS,5.4,5.9,0,0,0,25.5,14.4,39.9,11.3,3.1,5.4,0,8.5,5.65,1.44,10,ab,2,1,1,2
323,AUS000009301743,AUS,4.7,6.3,0,13.1,0,39,26.5,65.5,24.1,2.4,17.8,0,20.2,8.033333333,2.038461538,13,bab,3,1,1,2
324,AUS000009301733,AUS,4,5,0,10.4,0,16.1,22.7,38.8,19.4,3.3,14.4,0,17.7,6.466666667,1.746153846,13,bab,3,1,1,2
325,AUS000021403971,AUS,18.3,5.7,0,0,0,11.8,25.4,37.2,24,1.4,18.3,0,19.7,12,3.175,8,ab,2,1,1,2
326,AUS000021403963,AUS,4.7,15.7,0,18.1,0,9.6,48.7,58.3,38.5,10.2,22.8,0,33,12.83333333,3.04375,16,bab,3,1,1,2
327,AUS000021403979,AUS,13.8,8.8,0,0,0,18.3,24.1,42.4,22.6,1.5,13.8,0,15.3,11.3,3.0125,8,ab,2,1,1,2
328,AUS000058110812,AUS,22.5,10.1,0,12.7,0,15,51.5,66.5,45.3,6.2,35.2,0,41.4,11.325,3.029411765,17,abab,4,1,1,1
329,AUS000012302295,AUS,27.3,20.8,0,0,0,15.3,49.6,64.9,48.1,1.5,27.3,0,28.8,24.05,6.2,8,ab,2,1,1,1
330,AUS000068612827,AUS,17.3,6.5,0,0,0,14.8,44.6,59.4,23.8,20.8,17.3,0,38.1,11.9,3.716666667,12,ab,2,1,1,1
331,AUS000014002615,AUS,13,9,0,8.2,0,22.4,34,56.4,30.2,3.8,21.2,0,25,7.55,2,17,abab,4,1,1,2
332,AUS000025004604,AUS,15.3,3.6,0,9.6,0,16.2,36,52.2,28.5,7.5,24.9,0,32.4,7.125,1.714285714,21,abab,4,1,1,2
333,AUS000025004610,AUS,16,7.8,0,0,0,7.8,28,35.8,23.8,4.2,16,0,20.2,11.9,2.8,10,ab,2,1,1,2
334,AUS000056510499,AUS,5.8,9.4,0,19.1,0,26.7,37.2,63.9,34.3,2.9,24.9,0,27.8,11.43333333,2.861538462,13,bab,3,1,1,1
335,AUS000059311049,AUS,14.3,10,0,0,0,19,25.3,44.3,24.3,1,14.3,0,15.3,12.15,3.1625,8,ab,2,1,1,2
336,AUS000034506406,AUS,38.2,8.6,0,0,0,37,48.3,85.3,46.8,1.5,38.2,0,39.7,23.4,6.0375,8,ab,2,1,1,1
337,AUS000040007398,AUS,8.3,4.9,0,10.1,0,18.4,25.7,44.1,23.3,2.4,18.4,0,20.8,7.766666667,1.976923077,13,bab,3,1,1,1
338,AUS000009401765,AUS,5.3,5.5,0,19.3,0,37.1,32.8,69.9,30.1,2.7,24.6,0,27.3,10.03333333,2.523076923,13,bab,3,1,1,2
339,AUS000036206695,AUS,6.5,5.3,0,17.4,0,29.5,35.8,65.3,29.2,6.6,23.9,0,30.5,5.84,1.627272727,22,babab,5,1,1,2
340,AUS000036506734,AUS,15,5.1,0,12.7,0,22,35.4,57.4,32.8,2.6,27.7,0,30.3,10.93333333,2.723076923,13,bab,3,1,1,1
341,AUS000036506733,AUS,18.1,8.6,0,0,0,21.2,58.2,79.4,26.7,31.5,18.1,0,49.6,13.35,3.233333333,18,ab,2,1,1,2
342,AUS000061611488,AUS,13.1,9,0,0,0,8.5,24.1,32.6,22.1,2,13.1,0,15.1,11.05,3.0125,8,ab,2,1,1,1
343,AUS000075714166,AUS,12,9.7,0,11.4,0,40,42.2,82.2,33.1,9.1,23.4,0,32.5,5.516666667,1.507142857,28,ababab,6,1,1,2
344,AUS000027605162,AUS,10.7,0,21.3,0,0,27.4,32.8,60.2,32,0.8,10.7,7.4,54.1,16,3.644444444,9,ab,2,1,1,2
345,AUS000027605161,AUS,9.5,15.9,0,15.9,0,22,50.7,72.7,41.3,9.4,25.4,0,34.8,13.76666667,2.816666667,18,bab,3,1,1,2
346,AUS000027605156,AUS,3.8,3.9,0,16.4,0,22.1,26.8,48.9,24.1,2.7,20.2,0,22.9,8.033333333,2.061538462,13,bab,3,1,1,2
347,AUS000051509565,AUS,4.4,5.9,0,29.3,0,19.1,41.5,60.6,39.6,1.9,33.7,0,35.6,13.2,3.192307692,13,bab,3,1,1,2
348,AUS000064212000,AUS,16,9.5,0,0,0,33,26.9,59.9,25.5,1.4,16,0,17.4,12.75,3.3625,8,ab,2,1,1,1
349,AUS000020803853,AUS,40.3,12.1,0,0,0,23.8,53.4,77.2,52.4,1,40.3,0,41.3,26.2,6.675,8,ab,2,1,1,1
350,AUS000074413905,AUS,6.9,7.1,0,16.4,0,20.3,32.3,52.6,30.4,1.9,23.3,0,25.2,10.13333333,2.484615385,13,bab,3,1,1,2
351,AUS000074413894,AUS,14.3,10.3,0,0,0,16.1,26.1,42.2,24.6,1.5,14.3,0,15.8,12.3,3.2625,8,ab,2,1,1,1
352,AUS000052109680,AUS,6,8.2,0,0,0,25.7,17.3,43,14.2,3.1,6,0,9.1,7.1,1.73,10,ab,2,1,1,1
353,AUS000052109687,AUS,7.7,5.6,0,0,0,15,14.9,29.9,13.3,1.6,7.7,0,9.3,6.65,1.8625,8,ab,2,1,1,2
354,AUS000052109674,AUS,11.1,5,0,0,0,28,29.1,57.1,16.1,13,11.1,0,24.1,8.05,2.425,12,ab,2,1,1,2
355,AUS000006901300,AUS,17.3,0,14.4,0,0,17.9,33,50.9,31.7,1.3,17.3,0.5,47.4,15.85,3.666666667,9,ab,2,1,1,1
356,AUS000067112549,AUS,6.7,5.7,0,12.1,0,14,31.5,45.5,24.5,7,18.8,0,25.8,8.166666667,2.1,15,bab,3,1,1,2
357,AUS000020703837,AUS,8.6,9.3,0,0,21.4,26,41.8,67.8,39.3,2.5,30,11.2,32.5,13.1,2.985714286,14,abb,3,1,1,1
358,AUS000047908880,AUS,4,11.3,0,27.1,0,16.8,44.5,61.3,42.4,2.1,31.1,0,33.2,14.13333333,3.423076923,13,bab,3,1,1,2
359,AUS000002000371,AUS,14.4,13.5,0,8.9,0,28.8,40,68.8,36.8,3.2,23.3,0,26.5,9.2,2.352941176,17,abab,4,1,1,2
