ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD,ratio,mean,weight,gender
ARE000000700191,ARE,34.2,9.7,0,28.4,0,27.9,79.4,107.3,72.3,7.1,62.6,0,69.7,24.1,6.107692308,13,bab,3,1,0,0.68,372.952381,8054.205985,2
ARE000003300782,ARE,5.9,8.7,0,13.7,0,10,30.4,40.4,28.3,2.1,19.6,0,21.7,9.433333333,2.338461538,13,bab,3,1,0,0.76,464.5,9062.430772,2
ARE000026306705,ARE,27.1,12.1,0,9.3,0,19.9,59.1,79,48.5,10.6,36.4,0,47,12.125,2.569565217,23,abab,4,1,0,0.76,461.3,8999.998525,2
ARE000032508265,ARE,25.6,8,0,25.6,0,15.8,67.1,82.9,59.2,7.9,51.2,0,59.1,11.84,3.05,22,abbab,5,1,0,0.81,457.952381,9616.838467,2
ARE000001900472,ARE,8.3,8,0,0,0,20.5,20.3,40.8,16.3,4,8.3,0,12.3,8.15,1.845454545,11,ab,2,1,0,0.79,480.8,9380.445027,2
ARE000031808076,ARE,28,12.3,0,0,0,17.2,42.2,59.4,40.3,1.9,28,0,29.9,20.15,5.275,8,ab,2,1,0,0.63,359.9047619,7557.873052,1
ARE000031808094,ARE,24.7,0,34.4,0,0,14.2,60.3,74.5,59.1,1.2,24.7,11.2,94.7,29.55,5.481818182,11,ab,2,1,0,0.56,339,6613.916107,2
ARE000005301373,ARE,11.1,4.5,0,16.1,0,16.9,38.8,55.7,31.7,7.1,27.2,0,34.3,10.56666667,2.586666667,15,bab,3,1,0,0.69,390.952381,8209.8621,1
ARE000005301378,ARE,5.7,5.3,0,38.5,0,22.9,53.5,76.4,49.5,4,44.2,0,48.2,16.5,4.115384615,13,bab,3,1,0,0.57,349.3,6814.8699,1
ARE000014503631,ARE,16.5,9.8,0,0,0,16.9,27.9,44.8,26.3,1.6,16.5,0,18.1,13.15,3.4875,8,ab,2,1,0,0.62,340.9047619,7362.111932,1
ARE000003000719,ARE,4.6,2.8,0,3.6,10.5,19.5,43.8,63.3,21.5,22.3,18.7,6.2,41,5.375,1.684615385,26,babb,4,1,0,0.59,361.3,7048.990824,1
ARE000013603419,ARE,8.3,4.7,0,27.4,0,24.2,43.2,67.4,40.4,2.8,35.7,0,38.5,13.46666667,3.323076923,13,bab,3,1,0,0.58,355,6926.077339,1
ARE000017504447,ARE,30,14.3,0,0,0,42.2,46,88.2,44.3,1.7,30,0,31.7,22.15,5.75,8,ab,2,1,0,0.72,398.3809524,8603.356393,2
ARE000017504444,ARE,13.3,9.7,0,0,0,15.8,27.3,43.1,23,4.3,13.3,0,17.6,11.5,2.73,10,ab,2,1,0,0.75,427,8966.849385,2
ARE000038209628,ARE,15.5,11.4,0,0,58.1,33.6,101.5,135.1,85,16.5,73.6,13.4,90.1,28.33333333,5.075,20,bab,3,1,0,0.35,202.8333333,4129.144298,1
