ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD
MAC000003904424,MAC,1.9600947840472698,0.0,3.202746442938317,2.7212954278522306,0.0,1.3122965062394296,1.5912782193446273,1.6407200993500939,1.5695400313619958,1.026672031199051,1.4008644678998692,0.824584940453818,1.6671945018393615,2.7494053865709045,1.3549250973915474,17.0,bab,3.0,1.0,0
MAC000003904435,MAC,2.302585092994046,0.0,2.917770732084279,0.0,0.0,1.409907759500656,1.4856252388047966,1.5980779663825635,1.4619086635586902,0.8697416861919439,1.1947055233182955,1.197713885246772,1.583340520839692,2.6567569067146595,1.3737155789130306,10.0,ab,2.0,1.0,0
MAC000001802093,MAC,1.9878743481543455,2.4765384001174837,0.0,0.0,3.520460802488973,1.2065113214075196,1.6790661346024502,1.699995342956993,1.5957092304038698,1.4685335327952451,1.5457260008806777,1.136632125546019,1.6507036519252976,2.8716796250726913,1.6230293397103288,19.0,bab,3.0,1.0,0
MAC000001801999,MAC,1.9315214116032138,2.1162555148025524,0.0,0.0,0.0,1.2754233655037372,1.3175784627240252,1.4627496662271613,1.2956149828512062,0.5813534384286917,1.0755215413706298,0.0,1.128774165230374,2.028148247292285,1.0296194171811581,8.0,ab,2.0,1.0,0
MAC000001801979,MAC,4.428433007488037,2.424802725718295,0.0,3.095577608523707,0.0,1.2121951086795644,1.8213339242857027,1.8298114884184287,1.7486205128077443,1.639198617767309,1.7321877071460559,0.0,1.8116251922551236,2.997397552706663,1.3850223659769685,59.0,aababb,6.0,1.0,0
MAC000001801989,MAC,1.6863989535702288,2.0014800002101243,0.0,0.0,3.0155349008501706,1.4386182276098225,1.5112131309970578,1.6217943885447197,1.4907485375098133,0.8697416861919439,1.4376630202955416,0.9666950363247273,1.4644204688339222,2.403937587555538,1.16730881985061,15.0,bab,3.0,1.0,0
MAC000001802079,MAC,1.824549292051046,1.589235205116581,0.0,2.7343675094195836,0.0,1.358504720646626,1.5514778669545088,1.6221340453157358,1.4347685509820036,1.354175178592195,1.3925972252236156,0.0,1.530176786686604,2.178532444286331,1.1019400787607843,20.0,bab,3.0,1.0,0
MAC000002502913,MAC,3.0301337002713233,1.840549633397487,0.0,2.33214389523559,0.0,1.3122965062394296,1.5745651437258248,1.6284578494966397,1.5181737883623687,1.2411497501599307,1.4818766360989102,0.0,1.54888675756422,2.2591555350667094,1.0296194171811581,25.0,abab,4.0,1.0,0
MAC000002502866,MAC,2.0918640616783932,2.33214389523559,0.0,0.0,0.0,1.2578063641994797,1.3801579634431713,1.4892992254175486,1.3497523107612661,0.7715658670580718,1.128774165230374,0.0,1.2036159092171295,2.2192034840549946,1.0508216248317612,10.0,ab,2.0,1.0,0
MAC000002502802,MAC,2.066862759472976,2.174751721484161,0.0,2.0149030205422647,0.0,1.2386655214002922,1.5218599667189137,1.576801555770527,1.4110094829394235,1.3050429528286707,1.299436119654042,0.0,1.466899120737183,2.0877403445358533,0.9502528876333718,22.0,abb,3.0,1.0,0
