"","ID","cnt","time_a","time_b1","time_b2","time_start","time_solving","time_total","time_answer","time_irrelevant","time_explore_relevant","time_ticket_explore","time_explore_total","time_avg_explore","time_avg_btw_events","events_num","sequence","length","credit","OECD","ratio","mean","weight","gender"
"4947","MYS000009202905","MYS",3.321432413,1.931521412,2.694627181,1.582052614,1.595311183,1.719346021,1.580754906,0.917920362,1.553014307,0.82458494,1.570002974,2.533696814,1.327664277,18,"abab",4,1,0,0.56,314.8571429,6611.888941,1
"4948","MYS000014304494","MYS",2.821378886,1.808288771,3.923951576,1.308700647,1.674718172,1.70551948,1.661972951,1.026672031,1.647830794,0,1.661707325,3.198673118,1.918053195,13,"bab",3,1,0,0.29,164.7142857,3458.941901,1
"4949","MYS000012203858","MYS",2.839078464,2.850706502,0,1.458506581,1.63296637,1.699786896,1.505976903,1.474931913,1.345232354,0,1.570925143,2.844909384,1.732336049,13,"ab",2,1,0,0.62,348.8095238,7324.876965,1
"4950","MYS000012203837","MYS",2.197224577,2.163323026,3.391147046,1.262344579,1.587981161,1.630405292,1.571842396,0.935137023,1.532483452,0,1.55250366,2.76000994,1.547562509,13,"bab",3,1,0,0.75,412.1428571,8900.555771,1
"4951","MYS000013704324","MYS",3.104586678,2.208274414,3.55820113,1.430840255,1.667707349,1.717870164,1.642227456,1.200683717,1.61591075,1.421698251,1.645495107,2.309702561,1.425724082,23,"baaaaab",7,1,0,0.31,178.1904762,3741.937147,1
"4952","MYS000013704321","MYS",1.808288771,1.808288771,0,1.499211896,1.629109571,1.70811014,1.228445035,1.592092549,1.03257532,0,1.611628103,1.808288771,1.137145953,28,"ab",2,1,0,0.25,137.2857143,2964.795181,2
"4953","MYS000007002193","MYS",1.686398954,1.667706821,3.580737295,1.447007095,1.607973022,1.680725082,1.568143694,1.212195109,1.546785924,1.4602153,1.591278219,2.742988252,1.197867247,23,"bab",3,1,0,0.53,300.8571429,6317.893879,2
"4954","MYS000011603652","MYS",2.442347035,2.939161922,0,1.434768551,1.495029093,1.611989237,1.477275793,0.799206396,1.236153516,0,1.289752855,2.721295428,1.578978705,8,"ab",2,1,0,0.56,319.7619048,6714.887211,2
"4955","MYS000011603650","MYS",1.902107526,3.034952987,3.072693315,1.388946064,1.589225088,1.654363323,1.579447255,0.785691023,1.4602153,1.054939769,1.478822119,2.795246746,1.494507946,14,"bab",3,1,0,0.81,458.0952381,9619.838417,2
"4956","MYS000008702735","MYS",3.421000009,2.975529566,0,1.441455614,1.594512259,1.670750089,1.588396818,0.650391407,1.486365917,0,1.497132454,3.222867846,1.975815632,8,"ab",2,1,0,0.42,240.4285714,5048.915194,2
"4957","MYS000011303548","MYS",2.451005098,2.980618636,0,1.499899814,1.500585148,1.641022693,1.484134908,0.785691023,1.238665521,0,1.289752855,2.750470917,1.599387577,8,"ab",2,1,0,0.57,321.1428571,6743.886724,1
"4958","MYS000002100657","MYS",3.55820113,2.928523524,0,1.471760135,1.607973022,1.687416767,1.60271762,0.628858621,1.516928057,0.880036196,1.66303105,3.292126287,1.933130422,9,"ab",2,1,0,0.62,344.2857143,7435.126312,2
"4959","MYS000000200058","MYS",2.747270914,1.757857918,0,1.225816027,1.404304529,1.494322569,1.390170564,0.581353438,1.321027819,0,1.340611323,2.370243741,1.273965176,8,"ab",2,1,0,0.81,461.4761905,9690.837225,2
"4960","MYS000014604610","MYS",3.591817741,3.325036021,0,1.571384381,1.834692544,1.867136924,1.637971096,1.770739646,1.524275968,0,1.810547429,3.467297183,2.625151568,15,"ab",2,1,0,0.09,50,1079.790128,2
"4961","MYS000002500792","MYS",2.587764035,2.163323026,0,1.386474299,1.582482999,1.649273622,1.397363481,1.464420469,1.277529177,0,1.545726001,2.036881927,1.367366351,16,"aab",3,1,0,0.58,312,6901.528834,1
"4962","MYS000000400102","MYS",3.577947893,3.335769576,0,1.361340998,1.645788921,1.689659385,1.637353844,0.848012348,1.52125084,1.297534057,1.710268579,2.426276566,1.7879059,13,"aaaaab",6,1,0,0.33,187.8571429,3944.933738,1
"4963","MYS000000400127","MYS",1.609437912,2.00148,2.975529566,1.387714004,1.679779258,1.719712757,1.481876636,1.590049329,1.42581472,0,1.66382004,2.1102132,1.06218442,41,"bbab",4,1,0,0.55,283.2142857,6540.041974,2
"4964","MYS000013204151","MYS",1.757857918,2.041220329,3.597312261,1.29943612,1.608710479,1.651838602,1.583340521,1.0991055,1.551991516,1.220464896,1.582052614,2.813410717,1.300191662,20,"bab",3,1,0,0.51,282.2380952,6095.158181,2
"4965","MYS000012103818","MYS",3.321432413,2.714694744,0,1.503300998,1.559028211,1.670247005,1.554537349,0.495826022,1.463586924,0,1.470958692,3.063390922,1.826563391,8,"ab",2,1,0,0.48,264.9473684,5678.218092,1
"4966","MYS000012103800","MYS",4.001863709,2.867898902,0,1.206511321,1.672498395,1.694266305,1.661441257,0.981219235,1.609810585,0,1.624826389,3.587676949,2.135349174,10,"ab",2,1,0,0.87,479.5238095,10355.70152,1
"4967","MYS000012003766","MYS",2.251291799,1.791759469,2.740840024,1.42581472,1.622811267,1.685370491,1.474144014,1.484881577,1.429845547,0,1.604990185,2.335374916,1.391543717,19,"abb",3,1,0,0.3,166.8095238,3602.385542,1
"4968","MYS000012003782","MYS",2.833213344,1.840549633,3.848017675,1.535325282,1.703088723,1.764636868,1.6529656,1.408799816,1.637353844,0,1.691870184,2.360854001,1.542229163,24,"baaaaab",7,1,0,0.6,334.15,7138.645465,2
"4969","MYS000005301663","MYS",3.511545439,3.054001182,0,1.158782306,1.609077988,1.635800403,1.606114998,0.462341012,1.506639764,1.089935092,1.670247005,3.308716529,1.937941979,9,"ab",2,1,0,0.6,331.4,7167.666863,1
"4970","MYS000005301653","MYS",1.740466175,2.028148247,3.206803244,1.474931913,1.62382191,1.698109125,1.52246703,1.426830326,1.477275793,0,1.600026756,2.538973871,1.321120718,21,"bab",3,1,0,0.36,198.4285714,4285.224252,2
"4971","MYS000004101297","MYS",2.079441542,2.587764035,0,1.577688009,1.640113215,1.739750928,1.388946064,1.567675724,1.124748263,0,1.597685484,2.365559892,1.316524791,23,"ab",2,1,0,0.37,200.0555556,4351.018012,1
"4972","MYS000015504898","MYS",2.140066163,2.459588842,0,1.380157963,1.507958265,1.600799987,1.374957916,1.319310192,1.144243871,1.001648495,1.567206481,2.312535424,1.25714894,13,"ab",2,1,0,0.66,375.0952381,7876.867693,2
"4973","MYS000008602719","MYS",3.234749174,1.945910149,0,1.332673388,1.512498851,1.590459951,1.492186511,0.869741686,1.443324099,0,1.469345419,2.785011242,1.643839339,8,"ab",2,1,0,0.38,210.2380952,4540.260396,1
"4974","MYS000008602707","MYS",3.860729711,3.261935314,0,1.214985069,1.675694808,1.697686823,1.664865982,0.981219235,1.581188573,0,1.598860195,3.605497845,2.350184072,8,"ab",2,1,0,0.48,273.9047619,5751.903386,1
"4975","MYS000015304826","MYS",3.280911216,2.564949357,3.198673118,1.277529177,1.66010422,1.690104063,1.634861183,1.185439892,1.592092549,0,1.624157418,2.789630188,1.394952424,23,"abab",4,1,0,0.52,295.4761905,6204.895777,2
"4976","MYS000009102856","MYS",4.044804117,2.595254707,3.407841924,1.586728047,1.776221805,1.826166122,1.721352196,1.531909585,1.697051201,1.03257532,1.759816518,3.235732942,2.135480502,18,"abab",4,1,0,0.67,381.3809524,8008.865476,1
"4977","MYS000009102853","MYS",4.080921542,1.887069649,3.964615456,1.54032842,1.760654204,1.805847128,1.750571309,1.124748263,1.741978871,1.576801556,1.752643797,3.18221184,1.808971598,24,"abaab",5,1,0,0.64,350.1904762,7562.644384,2
"4978","MYS000009102862","MYS",3.583518938,2.833213344,0,1.257806364,1.60461356,1.642826498,1.599638801,0.605904389,1.52246703,0,1.530176787,3.277144733,2.019890562,8,"ab",2,1,0,0.77,438.6190476,9210.845287,2
"4979","MYS000005401677","MYS",3.005682604,1.648658626,2.815408719,1.233613163,1.58714678,1.625824773,1.545726001,1.188569496,1.521859967,0,1.568610397,2.377228636,1.156023196,22,"abab",4,1,0,0.51,283.9047619,6131.151185,2
"4980","MYS000005401695","MYS",1.824549292,1.840549633,2.895911938,1.147961726,1.526659764,1.56673596,1.470958692,1.165733227,1.422735581,0,1.492186511,2.32238772,1.172869059,16,"bab",3,1,0,0.48,266.6190476,5757.852312,1
"4981","MYS000005401688","MYS",2.660259537,2.302585093,2.406945108,1.200683717,1.529012141,1.57591049,1.505976903,0.935137023,1.433793962,0,1.466899121,2.468099531,1.328909677,13,"bab",3,1,0,0.7,387.7619048,8374.029538,1
"4982","MYS000005401694","MYS",3.230804396,1.686398954,4.942784627,1.42581472,1.736181332,1.769303362,1.599249949,1.61591075,1.581188573,0.605904389,1.728776652,2.112807235,0.978678504,64,"aababab",7,1,0,0.67,378.952381,7957.866333,2
"4983","MYS000006602065","MYS",2.433613355,2.708050201,2.312535424,1.42884569,1.645788921,1.701858805,1.513138295,1.497828234,1.39138759,0,1.598469535,2.238046572,1.197163962,28,"abab",4,1,0,0.67,370.4761905,8000.730665,1
"4984","MYS000014504565","MYS",3.288401888,2.261763098,2.708050201,1.587564483,1.640416941,1.743550119,1.589225088,1.319310192,1.549408056,0,1.611989237,2.57261223,1.177555491,28,"abab",4,1,0,0.68,372.6666667,8048.035756,1
"4985","MYS000014504576","MYS",3.401197382,2.766319109,0,1.326098161,1.579447255,1.634546904,1.569540031,0.771565867,1.481876636,0,1.497828234,3.133317937,1.911392644,8,"ab",2,1,0,0.67,352.5294118,7942.064019,1
"4986","MYS000014504570","MYS",2.509599262,1.62924054,7.017945114,1.604236086,1.699578168,1.781624494,1.686283257,1.085221289,1.676665432,1.085221289,1.690768709,2.667228207,1.3819747,29,"bababb",6,1,0,0.75,417.5,8919.301157,2
"4987","MYS000014004412","MYS",3.608211551,3.520460802,0,1.457646383,1.659835465,1.717684671,1.657122765,0.526589034,1.527839832,1.357071686,1.729808107,3.565298392,2.168418578,9,"ab",2,1,0,0.65,371.3333333,7797.86902,1
"4988","MYS000014004397","MYS",3.034952987,2.564949357,1.686398954,1.291724673,1.558040208,1.61270916,1.529595416,1.043997566,1.441455614,0,1.485625239,2.307572635,1.158204386,19,"abab",4,1,0,0.83,469.5238095,9859.834386,2
"4989","MYS000013904370","MYS",3.60004824,2.174751721,3.135494216,1.393799552,1.73535805,1.764772287,1.647830794,1.55250366,1.623485718,1.342163153,1.721894762,2.644755351,1.460067456,32,"aabab",5,1,0,0.71,403.45,8473.047746,1
"4990","MYS000011903744","MYS",3.230804396,2.174751721,0,1.479590479,1.537008767,1.650133162,1.503973676,1.049526377,1.442392139,0,1.487103633,2.836150204,1.41706602,12,"ab",2,1,0,0.83,459.3333333,9919.671978,2
"4991","MYS000000800261","MYS",2.980618636,3.610917913,0,1.481876636,1.749674134,1.787758785,1.613425979,1.632010658,1.381437243,0,1.682832574,3.34462703,2.286299351,13,"ab",2,1,0,0.66,374.8666667,7908.184331,2
"4992","NLD000000800203","NLD",3.63758616,2.186051277,0,1.140467895,1.58963771,1.617663061,1.57411434,0.926659313,1.534194007,0,1.553523466,3.154870495,1.954799096,8,"ab",2,1,1,0.15,82.80952381,1788.338127,1
"4993","NLD000004101043","NLD",2.468099531,2.809402695,3.054001182,1.236153516,1.600026756,1.636423558,1.581621141,0.995008781,1.496434017,0,1.525471842,2.805378545,1.483118546,15,"bab",3,1,1,0.48,272.5238095,5722.903873,1
"4994","NLD000004101027","NLD",1.648658626,1.902107526,3.843744165,1.116492721,1.624157418,1.645495107,1.6166139,0.771565867,1.595311183,0,1.603857758,2.972122408,1.694909643,13,"bab",3,1,1,0.52,296.1904762,6219.895525,2
"4995","NLD000016704152","NLD",3.100092289,2.63188884,0,0.935137023,1.554537349,1.572299194,1.516928057,1.112258859,1.411009483,0,1.473352769,2.515004681,1.364632864,14,"aab",3,1,1,0.38,210.8571429,4553.629227,1
"4996","NLD000016704144","NLD",1.774952351,2.388762789,0,1.136632126,1.339047794,1.429845547,1.324421601,0.495826022,1.020633576,0.935137023,1.454165888,2.128231706,1.009578666,9,"ab",2,1,1,0.76,430.1428571,9032.848277,2
"4997","NLD000016704146","NLD",3.202746443,2.557227311,0,1.075521541,1.543586784,1.572754782,1.525471842,0.889981469,1.435738227,0,1.464420469,2.931193752,1.583093937,10,"ab",2,1,1,0.57,314.952381,6801.649436,2
"4998","NLD000016704153","NLD",2.517696473,2.261763098,0,1.381437243,1.406565009,1.547839486,1.397363481,0.462341012,1.257806364,0,1.275423366,2.397895273,1.280933845,8,"ab",2,1,1,0.68,385.047619,8085.864183,1
"4999","NLD000014603611","NLD",1.974081026,1.62924054,5.699941775,1.225816027,1.6313704,1.660907785,1.568610397,1.348256638,1.548363904,1.305042953,1.617663061,2.276241118,0.99852883,35,"bbabb",5,1,1,0.41,231.5238095,4861.918335,1
"5000","NLD000014603608","NLD",1.945910149,3.025291076,0,1.312296506,1.464420469,1.55504209,1.454165888,0.581353438,1.080417818,1.175792346,1.580754906,2.624668592,1.380723316,9,"ab",2,1,1,0.62,349,7328.876898,1
"5001","NLD000014603621","NLD",3.360375387,2.116255515,1.945910149,1.085221289,1.572754782,1.598469535,1.556047208,0.917920362,1.515043139,0,1.535888224,2.422587885,1.287448527,17,"abab",4,1,1,0.52,285.1428571,6157.888846,1
