,Unnamed: 0,ID,cnt,time_A_total,time_b1,time_b2,time_B_total,time_start,time_end,time_solving,time_total,time_answer,time_not_answer,time_solving_2,events_num,avg_time_btw_events,sequence,length,credit,OECD
625,626,ARE000021705552,ARE,32.9,17.7,0,17.7,16.7,2.7,55.7,75.1,50.6,5.1,55.7,12,4.641666667,ab,2,1,0
627,628,ARE000036909315,ARE,104.2,5.5,0,5.5,11.9,3.4,155.5,170.8,109.7,45.8,155.5,45,3.455555556,aaaaaaab,8,1,0
630,631,ARE000016704216,ARE,1.8,16.1,13.5,29.6,25.3,4,99.2,128.5,31.4,67.8,99.2,43,2.306976744,bbab,4,1,0
634,635,ARE000001300304,ARE,28.5,5.9,12.1,18,12.3,3.3,65.3,80.9,46.5,18.8,65.3,22,2.968181818,abab,4,1,0
640,641,ARE000025406461,ARE,18.1,17,7.5,24.5,20.7,5.6,70.1,96.4,42.6,27.5,70.1,22,3.186363636,abb,3,1,0
641,642,ARE000025406483,ARE,4.6,5.5,22,27.5,17.1,2.3,33.5,52.9,32.1,1.4,33.5,13,2.576923077,bab,3,1,0
642,643,ARE000023105923,ARE,28.6,37.2,0,37.2,22.3,3.5,68,93.8,65.8,2.2,68,9,7.555555556,ab,2,1,0
646,647,ARE000036109084,ARE,4.2,4.2,21.6,25.8,18.2,6,37.1,61.3,30,7.1,37.1,13,2.853846154,bab,3,1,0
650,651,ARE000035909041,ARE,56.3,9.4,0,9.4,17.8,3.2,66.8,87.8,65.7,1.1,66.8,9,7.422222222,ab,2,1,0
653,654,ARE000011702941,ARE,16,15.8,0,15.8,14.4,2.8,34.4,51.6,31.8,2.6,34.4,8,4.3,ab,2,1,0
655,656,ARE000012203031,ARE,15.9,21.8,44.1,65.9,11.8,3.4,107.9,123.1,81.8,26.1,107.9,25,4.316,bab,3,1,0
658,659,ARE000021505489,ARE,17,12,0,12,3.1,8.9,34.9,46.9,29,5.9,34.9,8,4.3625,ab,2,1,0
659,660,ARE000021505479,ARE,42,10.7,0,10.7,18.8,11.1,71.3,101.2,52.7,18.6,71.3,11,6.481818182,ab,2,1,0
662,663,ARE000025106390,ARE,22.6,11.1,0,11.1,33.7,5.3,57.8,96.8,33.7,24.1,57.8,17,3.4,aab,3,1,0
669,670,ARE000038709753,ARE,25,4.6,13.4,18,60.7,2.1,46.4,109.2,43,3.4,46.4,15,3.093333333,abb,3,1,0
674,675,ARE000006801770,ARE,0,0,0,0,0,0,0,0,0,0,0,0,,nan,0,1,0
680,681,ARE000019705047,ARE,15.5,9.3,0,9.3,23.1,3,26.3,52.4,24.8,1.5,26.3,8,3.2875,ab,2,1,0
684,685,ARE000039509954,ARE,5.4,6.6,11.8,18.4,30.3,2.8,34.1,67.2,23.8,10.3,34.1,18,1.894444444,bab,3,1,0
687,688,ARE000005501421,ARE,7.1,6.7,38.2,44.9,17.5,2.7,56.5,76.7,52,4.5,56.5,13,4.346153846,bab,3,1,0
690,691,ARE000041410436,ARE,28.3,20.9,0,20.9,15.9,3.5,50.7,70.1,49.2,1.5,50.7,8,6.3375,ab,2,1,0
691,692,ARE000041410437,ARE,7.5,4.9,22.4,27.3,16.8,6,37.9,60.7,34.8,3.1,37.9,13,2.915384615,bab,3,1,0
692,693,ARE000041410433,ARE,27.6,9.9,0,9.9,5.4,3.1,38.3,46.8,37.5,0.8,38.3,8,4.7875,ab,2,1,0
698,699,ARE000031608039,ARE,28.8,18.1,15,33.1,19.8,3.1,69.1,92,61.9,7.2,69.1,19,3.636842105,abab,4,1,0
699,700,ARE000015803972,ARE,7.9,5.3,38.2,43.5,12,5.8,56.2,74,51.4,4.8,56.2,15,3.746666667,bab,3,1,0
706,707,ARE000037309403,ARE,21.2,8.4,0,8.4,24.9,3.2,31.6,59.7,29.6,2,31.6,8,3.95,ab,2,1,0
715,716,ARE000040510203,ARE,29.3,19.5,0,19.5,13.2,3.7,50,66.9,48.8,1.2,50,8,6.25,ab,2,1,0
717,718,ARE000026806844,ARE,5.4,9.8,12.7,22.5,75.9,3.7,35.5,115.1,27.9,7.6,35.5,16,2.21875,bab,3,1,0
726,727,ARE000000400093,ARE,6,12.1,51.7,63.8,13.6,4.4,104.9,122.9,69.8,35.1,104.9,17,6.170588235,bab,3,1,0
728,729,ARE000000400106,ARE,19.4,7.1,0,7.1,14.5,2.7,28.8,46,26.5,2.3,28.8,10,2.88,ab,2,1,0
732,733,ARE000042610703,ARE,26.9,10.5,0,10.5,22.6,2.6,42,67.2,37.4,4.6,42,14,3,aab,3,1,0
733,734,ARE000042610704,ARE,6.5,9.1,0,9.1,14.8,3.8,16.3,34.9,15.6,0.7,16.3,8,2.0375,ab,2,1,0
734,735,ARE000042610713,ARE,3.6,6.4,9.1,15.5,21.3,3.1,30.7,55.1,19.1,11.6,30.7,24,1.279166667,bab,3,1,0
739,740,ARE000010802674,ARE,7.2,20.1,0,20.1,21.4,2.2,50.1,73.7,27.3,22.8,50.1,18,2.783333333,ab,2,1,0
740,741,ARE000017404411,ARE,16,6.9,5.2,12.1,17.6,3.5,58.7,79.8,28.1,30.6,58.7,32,1.834375,abab,4,1,0
741,742,ARE000017404426,ARE,27.7,10.1,16.1,26.2,28.6,4.3,64.7,97.6,53.9,10.8,64.7,19,3.405263158,abab,4,1,0
744,745,ARE000014803724,ARE,37,13.2,0,13.2,20.9,4.1,54.2,79.2,50.2,4,54.2,10,5.42,ab,2,1,0
746,747,ARE000014803713,ARE,34.8,8.1,11.8,19.9,20,4.2,58,82.2,54.7,3.3,58,17,3.411764706,abab,4,1,0
750,751,ARE000033608504,ARE,9.9,12.5,18.6,31.1,25.9,2.7,48.6,77.2,41,7.6,48.6,13,3.738461538,bab,3,1,0
754,755,ARE000012303067,ARE,30,15.8,0,15.8,9.2,2.8,48.2,60.2,45.8,2.4,48.2,8,6.025,ab,2,1,0
756,757,ARE000012303060,ARE,14,5.2,21.5,26.7,24.9,1.8,56.5,83.2,40.7,15.8,56.5,33,1.712121212,abbab,5,1,0
809,810,ARE000035708980,ARE,16.5,35.7,0,35.7,35.2,6.9,92.6,134.7,52.2,40.4,92.6,13,7.123076923,ab,2,1,0
810,811,ARE000024606266,ARE,3.4,10.7,38.4,49.1,41.6,4.2,91.3,137.1,52.5,38.8,91.3,24,3.804166667,bab,3,1,0
811,812,ARE000024606258,ARE,19.8,8.8,0,8.8,18.7,2.7,61.4,82.8,28.6,32.8,61.4,12,5.116666667,ab,2,1,0
814,815,ARE000019004881,ARE,28.6,8.2,0,8.2,24.2,4.7,91.5,120.4,36.8,54.7,91.5,13,7.038461538,ab,2,1,0
820,821,ARE000008202041,ARE,25.9,19.6,0,19.6,12.5,3.5,47.7,63.7,45.5,2.2,47.7,8,5.9625,ab,2,1,0
825,826,ARE000015603908,ARE,34.1,23,0,23,24.2,2.3,63.1,89.6,57.1,6,63.1,8,7.8875,ab,2,1,0
