stu_id,sequence,length
AUS000007801473,bb,2.0
AUS000007801474,ab,2.0
AUS000060711315,b,1.0
AUS000015302883,ab,2.0
AUS000004000784,a,1.0
AUS000004000779,abab,4.0
AUS000072613534,aab,3.0
AUS000072613538,abab,4.0
AUS000032005951,a,1.0
AUS000059511082,ab,2.0
AUS000059511083,b,1.0
AUS000025904809,ab,2.0
AUS000025904800,ab,2.0
AUS000025904816,abab,4.0
AUS000075414097,b,1.0
AUS000072013421,babb,4.0
AUS000072013430,bab,3.0
AUS000043908128,ab,2.0
AUS000043908130,bab,3.0
AUS000001000169,b,1.0
AUS000010101889,b,1.0
AUS000010101887,bab,3.0
AUS000010101897,bab,3.0
AUS000014502718,b,1.0
AUS000014502725,b,1.0
AUS000036306710,a,1.0
AUS000039007206,abab,4.0
AUS000039007208,b,1.0
AUS000062911713,ababaaaaab,10.0
AUS000062911725,b,1.0
AUS000006501232,ab,2.0
AUS000006501236,bab,3.0
AUS000052009653,a,1.0
AUS000052009666,bab,3.0
AUS000023604347,b,1.0
AUS000064011945,b,1.0
AUS000071113272,a,1.0
AUS000076214241,ab,2.0
AUS000076214247,b,1.0
AUS000076214242,ab,2.0
AUS000054010029,b,1.0
AUS000054010043,bab,3.0
AUS000054010033,a,1.0
AUS000017303250,abab,4.0
AUS000053709972,b,1.0
AUS000053709979,ab,2.0
AUS000067012527,a,1.0
AUS000067012521,b,1.0
AUS000067012519,bab,3.0
AUS000026604949,bb,2.0
AUS000026604952,ab,2.0
AUS000026604953,bab,3.0
AUS000060211212,b,1.0
AUS000060211213,abab,4.0
AUS000028605337,b,1.0
AUS000034006322,a,1.0
AUS000034006321,abab,4.0
AUS000034006325,abbab,5.0
AUS000034006332,b,1.0
AUS000069512994,ab,2.0
AUS000069512979,babab,5.0
AUS000060311236,ab,2.0
AUS000060311242,ab,2.0
AUS000044308203,bb,2.0
AUS000009301743,bab,3.0
AUS000009301733,bab,3.0
AUS000021403971,ab,2.0
AUS000021403963,bab,3.0
AUS000021403979,ab,2.0
AUS000058110812,abab,4.0
AUS000012302295,ab,2.0
AUS000012302286,b,1.0
AUS000068612827,ab,2.0
AUS000014002614,a,1.0
AUS000014002615,abab,4.0
AUS000025004604,abab,4.0
AUS000025004610,ab,2.0
AUS000016603121,a,1.0
AUS000016603120,b,1.0
AUS000056510499,bab,3.0
AUS000059311049,ab,2.0
AUS000034506406,ab,2.0
AUS000034506401,a,1.0
AUS000040007398,bab,3.0
AUS000009401765,bab,3.0
AUS000036206689,b,1.0
AUS000036206695,babab,5.0
AUS000036506734,bab,3.0
AUS000036506733,ab,2.0
AUS000061611488,ab,2.0
AUS000075914197,a,1.0
AUS000075714166,ababab,6.0
AUS000075714153,b,1.0
AUS000074313885,a,1.0
AUS000027605162,ab,2.0
AUS000027605161,bab,3.0
AUS000027605156,bab,3.0
AUS000027605152,a,1.0
AUS000051509578,a,1.0
AUS000051509565,bab,3.0
AUS000051509577,bb,2.0
AUS000064212000,ab,2.0
AUS000057510710,b,1.0
AUS000023904406,b,1.0
AUS000020803853,ab,2.0
AUS000074413905,bab,3.0
AUS000074413894,ab,2.0
AUS000052109680,ab,2.0
AUS000052109687,ab,2.0
AUS000052109674,ab,2.0
AUS000006901300,ab,2.0
AUS000024204461,b,1.0
AUS000067112545,b,1.0
AUS000067112542,b,1.0
AUS000067112549,bab,3.0
AUS000020703835,aa,2.0
AUS000020703831,b,1.0
